date,PM2.5,O3,CO,NO2,SO2,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2011-04-11,12.450000000006888,0.033973874999959505,0.3955679999996414,11.172916999997167,1.131193967741905,52.0,31.0,4.0,11.0,2.0,52.0,Moderate,5
2011-04-12,5.919999999979252,0.037279375000036113,0.3896772500003514,14.989583500000263,1.2140316774181403,25.0,35.0,4.0,14.0,2.0,35.0,Good,5
2011-04-13,5.5,0.03672462500000899,0.3636940000005848,12.64864124999519,0.89143145161336,23.0,34.0,4.0,12.0,1.0,34.0,Good,5
2011-04-14,6.400000000016551,0.03688387499998541,0.31360825000026343,10.84210949998625,1.0649977096778247,27.0,34.0,4.0,10.0,2.0,34.0,Good,5
2011-04-15,4.819999999994855,0.0372682499999412,0.31142474999997005,10.620386749980685,1.230962516127477,20.0,35.0,4.0,10.0,2.0,35.0,Good,5
2011-04-16,6.899999999979065,0.04168187500000284,0.3209979999999447,7.047916749991177,0.9145273548383238,29.0,39.0,4.0,7.0,1.0,39.0,Good,5
2011-04-17,9.450000000016736,0.040214499999987684,0.33877624999996686,5.964822499998017,1.0578740967742772,39.0,37.0,4.0,6.0,2.0,39.0,Good,5
2011-04-18,6.7399999999962175,0.04101424999991473,0.2854147500000128,9.392180749985267,1.092676193547511,28.0,38.0,3.0,9.0,2.0,38.0,Good,5
2011-04-19,7.250000000019173,0.030117375000010688,0.40212124999980536,15.172203999974048,1.1885305483874569,30.0,28.0,5.0,14.0,2.0,30.0,Good,5
2011-04-20,9.100000000001305,0.02969962500001274,0.38538799999981305,13.810486500007531,1.0605622258063885,38.0,27.0,4.0,13.0,2.0,38.0,Good,5
2011-04-21,6.559999999974388,0.03569249999991856,0.32301050000017056,11.793749999968563,1.0632886333335803,27.0,33.0,4.0,11.0,2.0,33.0,Good,5
2011-04-22,5.649999999996616,0.03439374999999702,0.33499124999983926,14.531250000000007,1.2852710645164975,24.0,32.0,4.0,14.0,2.0,32.0,Good,5
2011-04-23,8.050000000015737,0.03228524999997812,0.37614275000017233,10.513068250004283,1.0216195483865902,34.0,30.0,4.0,10.0,1.0,34.0,Good,5
