date_local,PM2.5,O3,CO,NO2,SO2,date,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2009-05-12,9.7,0.018583,0.346545,21.25,3.9,2009-05-12,40.0,17.0,4.0,20.0,6.0,40.0,Good,5
2009-05-13,9.6,0.038708,0.416667,15.666667000000002,1.0352940000000002,2009-05-13,40.0,36.0,5.0,15.0,1.0,40.0,Good,5
2009-05-14,9.0,0.036824,0.232565,6.4583330000000005,0.7,2009-05-14,38.0,34.0,3.0,6.0,1.0,38.0,Good,5
2009-05-15,10.0,0.035708,0.273875,5.227273,2.728571,2009-05-15,42.0,33.0,3.0,5.0,4.0,42.0,Good,5
2009-05-16,9.1,0.037826,0.255083,16.833333,1.025,2009-05-16,38.0,35.0,3.0,16.0,1.0,38.0,Good,5
2009-05-17,7.7,0.025875,0.191667,5.625,2.583333,2009-05-17,32.0,24.0,2.0,5.0,4.0,32.0,Good,5
2009-05-18,6.1,0.023875,0.5,3.4090910000000005,1.541667,2009-05-18,25.0,22.0,6.0,3.0,2.0,25.0,Good,5
2009-05-19,6.5,0.032792,0.266667,10.333333,1.6625,2009-05-19,27.0,30.0,3.0,10.0,2.0,30.0,Good,5
2009-05-20,11.8,0.045167,0.283348,19.727273,1.791667,2009-05-20,49.0,42.0,3.0,19.0,3.0,49.0,Good,5
2009-05-21,10.5,0.05125,0.283333,6.818182000000001,1.8125,2009-05-21,44.0,47.0,3.0,6.0,3.0,47.0,Good,5
2009-05-22,13.1,0.059708,0.273375,14.25,1.65,2009-05-22,53.0,66.0,3.0,13.0,2.0,66.0,Moderate,5
2009-05-23,6.7,0.025708,0.197522,7.545455,0.868182,2009-05-23,28.0,24.0,2.0,7.0,1.0,28.0,Good,5
2009-05-24,15.5,0.032375,0.531818,10.458333,1.695652,2009-05-24,58.0,30.0,6.0,10.0,2.0,58.0,Moderate,5
2009-05-25,7.7,0.040292,0.233333,7.5,3.5,2009-05-25,32.0,37.0,3.0,7.0,5.0,37.0,Good,5
2009-05-26,3.8,0.035045,0.417391,14.5,2.391304,2009-05-26,16.0,32.0,5.0,14.0,3.0,32.0,Good,5
2009-05-27,4.6,0.024875,0.213227,11.291667,1.3,2009-05-27,19.0,23.0,2.0,11.0,2.0,23.0,Good,5
2009-05-28,4.7,0.026529,0.213667,1.291667,1.0,2009-05-28,20.0,25.0,2.0,1.0,1.0,25.0,Good,5
2009-05-29,8.6,0.021765,0.633333,5.0833330000000005,1.0,2009-05-29,36.0,20.0,7.0,5.0,1.0,36.0,Good,5
2009-05-30,10.7,0.021833,0.295833,11.136364,1.142857,2009-05-30,45.0,20.0,3.0,11.0,2.0,45.0,Good,5
2009-05-31,8.0,0.043294,0.222652,12.041667,1.3,2009-05-31,33.0,40.0,3.0,11.0,2.0,40.0,Good,5
2009-06-01,5.4,0.033792,0.433333,8.75,2.458333,2009-06-01,23.0,31.0,5.0,8.0,4.0,31.0,Good,5
2009-06-02,13.4,0.033941000000000006,0.525,13.173913,1.375,2009-06-02,54.0,31.0,6.0,12.0,2.0,54.0,Moderate,5
2009-06-03,8.2,0.029176,0.241667,6.666667,1.142857,2009-06-03,34.0,27.0,3.0,6.0,2.0,34.0,Good,5
2009-06-04,7.9,0.036625,0.53913,20.117647,1.142857,2009-06-04,33.0,34.0,6.0,19.0,2.0,34.0,Good,5
2009-06-05,9.2,0.03025,0.279417,16.333333,1.3,2009-06-05,38.0,28.0,3.0,15.0,2.0,38.0,Good,5
2009-06-06,9.3,0.037000000000000005,0.226333,9.041667,0.775,2009-06-06,39.0,34.0,3.0,9.0,1.0,39.0,Good,5
2009-06-07,10.5,0.03425,0.478261,11.173913,1.375,2009-06-07,44.0,32.0,5.0,11.0,2.0,44.0,Good,5
2009-06-08,6.7,0.030235,0.21875,4.909091,1.12,2009-06-08,28.0,28.0,2.0,5.0,2.0,28.0,Good,5
2009-06-09,5.6,0.033667,0.538095,13.136364000000002,1.0,2009-06-09,23.0,31.0,6.0,12.0,1.0,31.0,Good,5
2009-06-10,7.3,0.028625,0.208087,2.75,1.0,2009-06-10,30.0,27.0,2.0,3.0,1.0,30.0,Good,5
2009-06-11,5.7,0.017166999999999998,0.210375,1.545455,1.25,2009-06-11,24.0,16.0,2.0,1.0,2.0,24.0,Good,5
2009-06-12,7.5,0.010529,0.375,13.958332999999998,1.325,2009-06-12,31.0,10.0,4.0,13.0,2.0,31.0,Good,5
2009-06-13,,0.021875,0.251609,9.041667,1.3,2009-06-13,,20.0,3.0,9.0,2.0,20.0,Good,4
2009-06-14,,0.028417,0.183174,3.045455,1.0,2009-06-14,,26.0,2.0,3.0,1.0,26.0,Good,4
2009-06-15,6.4,0.024958,0.1875,5.041667,0.3,2009-06-15,27.0,23.0,2.0,5.0,0.0,27.0,Good,5
2009-06-16,4.6,0.026292000000000003,0.233174,10.454545,1.0,2009-06-16,19.0,24.0,3.0,10.0,1.0,24.0,Good,5
2009-06-17,5.9,0.022792,0.266667,14.458332999999998,1.0,2009-06-17,25.0,21.0,3.0,14.0,1.0,25.0,Good,5
2009-06-18,7.0,0.030529,0.251292,14.166667000000002,1.0,2009-06-18,29.0,28.0,3.0,13.0,1.0,29.0,Good,5
2009-06-19,9.4,0.016083,0.248652,27.0,1.0,2009-06-19,39.0,15.0,3.0,25.0,1.0,39.0,Good,5
2009-06-20,9.8,0.022083,0.2875,7.909091,2.5125,2009-06-20,41.0,20.0,3.0,7.0,4.0,41.0,Good,5
2009-06-21,3.3,0.03,0.166667,8.916667,1.0,2009-06-21,14.0,28.0,2.0,8.0,1.0,28.0,Good,5
2009-06-22,3.3,0.027125,0.1625,8.409091,2.0,2009-06-22,14.0,25.0,2.0,8.0,3.0,25.0,Good,5
2009-06-23,5.2,0.0165,0.207909,3.727273,1.5,2009-06-23,22.0,15.0,2.0,4.0,2.0,22.0,Good,5
2009-06-24,6.7,0.025042,0.243542,15.333332999999998,1.434783,2009-06-24,28.0,23.0,3.0,14.0,2.0,28.0,Good,5
2009-06-25,9.6,0.026583,0.275,11.125,1.5,2009-06-25,40.0,25.0,3.0,10.0,2.0,40.0,Good,5
2009-06-26,12.9,0.033708,0.3125,18.333333,1.0,2009-06-26,53.0,31.0,4.0,17.0,1.0,53.0,Moderate,5
2009-06-27,11.5,0.03125,0.2605,11.583333,1.0,2009-06-27,48.0,29.0,3.0,11.0,1.0,48.0,Good,5
2009-06-28,8.3,0.020529,0.2125,3.041667,0.9,2009-06-28,35.0,19.0,2.0,3.0,1.0,35.0,Good,5
2009-06-29,13.9,0.030917,0.283333,14.333332999999998,1.0,2009-06-29,55.0,29.0,3.0,14.0,1.0,55.0,Moderate,5
2009-06-30,14.9,0.047958,0.291667,11.130435,2.041667,2009-06-30,57.0,44.0,3.0,11.0,3.0,57.0,Moderate,5
2009-07-01,10.9,0.041952,0.298565,20.954545,1.875,2009-07-01,45.0,39.0,3.0,20.0,3.0,45.0,Good,5
2009-07-02,7.8,0.015438,0.26225,12.217391,0.728571,2009-07-02,32.0,14.0,3.0,12.0,1.0,32.0,Good,5
2009-07-03,10.1,0.023875,0.25416700000000003,10.478261,1.0,2009-07-03,42.0,22.0,3.0,10.0,1.0,42.0,Good,5
2009-07-04,7.3,0.022042,0.2125,8.166667,1.0,2009-07-04,30.0,20.0,2.0,8.0,1.0,30.0,Good,5
2009-07-05,7.2,0.02113,0.186208,10.625,1.782609,2009-07-05,30.0,20.0,2.0,10.0,3.0,30.0,Good,5
2009-07-06,9.9,0.027333,0.331174,14.590909,1.708333,2009-07-06,41.0,25.0,4.0,14.0,2.0,41.0,Good,5
2009-07-07,12.5,0.018917,0.304167,5.75,1.0,2009-07-07,52.0,18.0,3.0,5.0,1.0,52.0,Moderate,5
2009-07-08,6.2,0.018042,0.190792,1.545455,1.0,2009-07-08,26.0,17.0,2.0,1.0,1.0,26.0,Good,5
2009-07-09,6.7,0.026261000000000003,0.17083299999999998,2.208333,2.391304,2009-07-09,28.0,24.0,2.0,2.0,3.0,28.0,Good,5
2009-07-10,10.1,0.022833000000000003,0.329167,16.333333,1.391667,2009-07-10,42.0,21.0,4.0,15.0,2.0,42.0,Good,5
2009-07-11,9.0,0.032957,0.202083,8.583333,1.0,2009-07-11,38.0,31.0,2.0,8.0,1.0,38.0,Good,5
2009-07-12,9.8,0.028542,0.175,4.875,1.608696,2009-07-12,41.0,26.0,2.0,5.0,2.0,41.0,Good,5
2009-07-13,7.8,0.029217,0.194917,16.208333,1.0,2009-07-13,32.0,27.0,2.0,15.0,1.0,32.0,Good,5
2009-07-14,7.8,0.026708,0.182542,16.833333,1.0,2009-07-14,32.0,25.0,2.0,16.0,1.0,32.0,Good,5
2009-07-15,7.0,0.026455000000000003,0.203565,16.227273,1.0,2009-07-15,29.0,24.0,2.0,15.0,1.0,29.0,Good,5
2009-07-16,20.6,0.039765,0.266667,6.041667,1.1625,2009-07-16,69.0,37.0,3.0,6.0,2.0,69.0,Moderate,5
2009-07-17,17.6,0.035208,0.277435,8.863636,1.869565,2009-07-17,63.0,33.0,3.0,8.0,3.0,63.0,Moderate,5
2009-07-18,13.0,0.033458,0.233333,12.090909,1.2,2009-07-18,53.0,31.0,3.0,11.0,2.0,53.0,Moderate,5
2009-07-19,8.9,0.022625,0.195833,9.458333,1.25,2009-07-19,37.0,21.0,2.0,9.0,2.0,37.0,Good,5
